Current,Voltage
-50e-3,250e-6
-40e-3,160e-6
-30e-3,97e-6
-20e-3,53e-6
-10e-3,29e-6
0,21e-6
10e-3,31e-6
20e-3,58e-6
30e-3,104e-6
40e-3,170e-6
50e-3,260e-6
