Timestamp,Temperature,Voltage
09:12:41.751623,294.1,-2.07094344e-06
09:12:42.321355,294.1,-2.27430936e-06
09:12:42.880122,294.1,-2.50899627e-06
09:12:43.456360,294.1,-2.30298351e-06
09:12:44.018311,294.2,-2.16711214e-06
09:12:44.587286,294.2,-2.43928433e-06
09:12:45.155831,294.2,-2.19489186e-06
09:12:45.719261,294.3,-2.39605245e-06
09:12:46.287638,294.3,-2.16621766e-06
09:12:46.857405,294.4,-1.72639946e-06
09:12:47.426162,294.5,-2.10621782e-06
09:12:47.996623,294.5,-1.93902286e-06
09:12:48.572238,294.6,-1.95887425e-06
09:12:49.145062,294.7,-1.96240339e-06
09:12:49.722188,294.7,-2.2090018e-06
09:12:50.299732,294.8,-2.09121687e-06
09:12:50.868229,294.9,-1.75814853e-06
09:12:51.440932,295.0,-2.02327514e-06
09:12:52.011812,295.1,-1.77270624e-06
09:12:52.582319,295.2,-1.97783747e-06
09:12:53.147217,295.4,-1.82299647e-06
09:12:53.720282,295.5,-1.79873241e-06
09:12:54.285848,295.6,-1.54728085e-06
09:12:54.858078,295.7,-1.57816082e-06
09:12:55.425446,295.8,-1.39905695e-06
09:12:55.988409,295.9,-1.32670957e-06
09:12:56.549489,296.1,-1.25259763e-06
09:12:57.113593,296.1,-1.5221288e-06
09:12:57.674806,296.2,-1.29582246e-06
09:12:58.234622,296.3,-1.55080309e-06
09:12:58.799014,296.4,-1.48595508e-06
09:12:59.365304,296.5,-1.13524642e-06
09:12:59.939048,296.7,-1.45683688e-06
09:13:00.514191,296.8,-8.29971283e-07
09:13:01.081222,296.9,-1.18509155e-06
09:13:01.655064,297.0,-5.27788195e-07
09:13:02.229077,297.2,-9.53932521e-07
09:13:02.808465,297.3,-7.37772356e-07
09:13:03.372129,297.4,-6.43797482e-07
09:13:03.947652,297.5,-5.9835967e-07
09:13:04.510900,297.7,-6.45120914e-07
09:13:05.071843,297.8,-6.65413529e-07
09:13:05.635821,297.8,-3.31026523e-07
09:13:06.211932,297.9,-6.69818584e-07
09:13:06.787521,298.0,-2.7940421e-07
09:13:07.363791,298.2,1.48390018e-08
09:13:07.930286,298.3,-2.62199585e-07
09:13:08.503134,298.4,-1.78056724e-08
09:13:09.068739,298.5,-1.5059009e-07
09:13:09.629682,298.7,-1.6381735e-07
09:13:10.189518,298.8,-2.54693139e-07
09:13:10.755025,298.9,2.65416351e-07
09:13:11.322296,299.0,8.05767613e-08
09:13:11.883197,299.2,1.2160321e-07
09:13:12.452794,299.3,9.86656227e-08
09:13:13.015058,299.4,4.5422913e-07
09:13:13.577255,299.4,6.77889515e-07
09:13:14.138370,299.5,5.33635184e-07
09:13:14.704981,299.7,2.56596285e-07
09:13:15.271121,299.8,7.71853345e-07
09:13:15.847093,299.9,5.68930075e-07
09:13:16.413296,300.0,5.46431686e-07
09:13:16.983556,300.1,1.05860091e-06
09:13:17.552681,300.3,8.23911827e-07
09:13:18.123936,300.4,7.86414511e-07
09:13:18.698124,300.5,8.73766215e-07
09:13:19.270550,300.6,9.09941472e-07
09:13:19.832941,300.8,1.23153631e-06
09:13:20.402220,300.9,1.27918e-06
09:13:20.983231,301.0,1.39784805e-06
09:13:21.553740,301.1,1.27697427e-06
09:13:22.122169,301.3,1.50019066e-06
09:13:22.687719,301.4,1.38813982e-06
09:13:23.258818,301.4,1.34711333e-06
09:13:23.836692,301.5,1.36167111e-06
09:13:24.414797,301.6,1.27432439e-06
09:13:24.977529,301.7,1.44373384e-06
09:13:25.538472,301.9,1.52711433e-06
09:13:26.102953,302.0,1.55711224e-06
09:13:26.669780,302.1,1.57740494e-06
09:13:27.235377,302.2,1.7732736e-06
09:13:27.798528,302.4,1.76268611e-06
09:13:28.358853,302.5,1.94752877e-06
09:13:28.923603,302.6,1.97179179e-06
09:13:29.489158,302.7,2.09266572e-06
09:13:30.049410,302.8,1.89944388e-06
09:13:30.609682,303.0,2.05913865e-06
09:13:31.173012,303.0,2.04986002e-06
09:13:31.745604,303.1,2.06485225e-06
09:13:32.324494,303.2,2.2413102e-06
09:13:32.892313,303.3,2.02647264e-06
09:13:33.455764,303.5,2.47996959e-06
09:13:34.021295,303.6,2.09396781e-06
09:13:34.582050,303.7,1.83986718e-06
09:13:35.146619,303.8,2.4155612e-06
09:13:35.714489,303.9,2.37365244e-06
09:13:36.285585,304.1,2.3339494e-06
09:13:36.852149,304.2,2.47776262e-06
09:13:37.420408,304.3,2.30218228e-06
09:13:37.998742,304.4,2.35820643e-06
09:13:38.571673,304.5,2.69391748e-06
09:13:39.151859,304.7,2.7080341e-06
09:13:39.718233,304.8,2.62642235e-06
09:13:40.290213,304.8,2.51834192e-06
09:13:40.855561,304.9,2.85052249e-06
09:13:41.423049,305.0,2.87743231e-06
