Current,Voltage
-10e-3,19e-6
-15e-3,12e-6
-20e-3,0
-25e-3,-13e-6
-30e-3,-28e-6
-35e-3,-47e-6
-40e-3,-66e-6
-45e-3,-87e-6
-50e-3,-106e-6
